name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Auburn University,Alabama,54400,104500,51,31,Public,4 Year,13332,11276,24608,30524,43856
University of Alabama in Huntsville,Alabama,57500,103900,59,45,Public,4 Year,10094,10714,20808,22362,32456
Tuskegee University,Alabama,54500,93500,61,30,Private,4 Year,9650,22170,31820,22170,31820
Samford University,Alabama,48400,90500,52,3,Private,4 Year,10550,31650,42200,31650,42200
Spring Hill College,Alabama,46600,89100,53,12,Private,4 Year,13462,39464,52926,39464,52926
Birmingham Southern College,Alabama,49100,88300,48,27,Private,4 Year,12350,17650,30000,17650,30000
University of Alabama at Birmingham,Alabama,48600,87200,57,17,Public,4 Year,6400,10710,17110,24630,31030
University of South Alabama,Alabama,47700,86400,56,17,Public,4 Year,9200,10370,19570,18680,27880
University of South Alabama,Alabama,47700,86400,56,17,Public,4 Year,7620,9870,17490,19740,27360
Troy University,Alabama,44500,81500,60,8,Public,4 Year,8185,12460,20645,22875,31060
Jacksonville State University,Alabama,43800,80000,61,7,Public,4 Year,8100,10425,18525,20145,28245
Auburn University at Montgomery,Alabama,45000,79600,61,12,Public,4 Year,6980,10288,17268,22048,29028
Huntingdon College,Alabama,42400,78900,69,14,Private,4 Year,9750,27400,37150,27400,37150
Oakwood University,Alabama,43500,78800,71,16,Private,4 Year,9312,16720,26032,16720,26032
University of West Alabama,Alabama,42700,76100,61,4,Public,4 Year,8116,10040,18156,18490,26606
University of North Alabama,Alabama,43000,75600,61,6,Public,4 Year,9200,10370,19570,18680,27880
University of North Alabama,Alabama,43000,75600,61,6,Public,4 Year,7620,9870,17490,19740,27360
University of Mobile,Alabama,40600,74100,77,7,Private,4 Year,9600,22820,32420,22820,32420
Alabama State University,Alabama,39800,71500,61,16,Public,4 Year,5422,11068,16490,19396,24818
Faulkner University,Alabama,39400,71300,61,2,Private,4 Year,7750,21690,29440,21690,29440
University of Montevallo,Alabama,38900,70700,49,7,Public,4 Year,9330,12760,22090,25780,35110
Judson College,Alabama,37900,67600,65,13,Private,4 Year,10590,18510,29100,18510,29100
Miles College,Alabama,34800,65100,64,19,Private,4 Year,7042,11604,18646,11604,18646
University of Alaska Fairbanks,Alaska,59100,101800,54,20,Public,4 Year,8930,8087,17017,24257,33187
University of Alaska Anchorage,Alaska,56000,101000,57,10,Public,4 Year,12200,7688,19888,23858,36058
Alaska Pacific University,Alaska,50300,90000,67,6,Private,4 Year,7300,20830,28130,20830,28130
University of Arizona,Arizona,56100,101000,51,23,Public,4 Year,12550,12487,25037,36386,48936
Northern Arizona University,Arizona,49600,90000,56,12,Public,4 Year,10282,11564,21846,25828,36110
Prescott College,Arizona,41200,73500,69,0,Private,4 Year,7700,31485,39185,31485,39185
University of Arkansas,Arkansas,52500,98000,49,18,Public,4 Year,11020,9130,20150,25168,36188
Hendrix College,Arkansas,48100,90300,58,33,Private,4 Year,12284,45790,58074,45790,58074
Harding University,Arkansas,49200,88600,47,10,Private,4 Year,7044,20135,27179,20135,27179
John Brown University,Arkansas,47000,82700,53,9,Private,4 Year,9224,26928,36152,26928,36152
University of Arkansas at Little Rock,Arkansas,45600,80800,55,13,Public,4 Year,8930,8966,17896,21206,30136
Ouachita Baptist University,Arkansas,44100,80200,58,18,Private,4 Year,7880,26790,34670,26790,34670
Henderson State University,Arkansas,42900,79800,57,5,Public,4 Year,7504,8436,15940,10086,17590
University of Central Arkansas,Arkansas,44900,79800,52,8,Public,4 Year,6854,8751,15605,15274,22128
University of Arkansas at Monticello,Arkansas,43500,78300,61,2,Public,4 Year,6824,7696,14520,13546,20370
Arkansas Tech University,Arkansas,45000,76900,54,7,Public,4 Year,7870,9068,16938,15848,23718
University of the Ozarks,Arkansas,42300,74500,58,16,Private,4 Year,7400,24230,31630,24230,31630
Lyon College,Arkansas,41200,74300,53,33,Private,4 Year,9130,28790,37920,28790,37920
University of Arkansas at Pine Bluff,Arkansas,40500,70500,67,22,Public,4 Year,7881,7842,15723,14094,21975
Harvey Mudd College,California,88800,158200,55,85,Private,4 Year,18127,56876,75003,56876,75003
California Institute of Technology,California,84100,151600,53,97,Private,4 Year,15525,52362,67887,52362,67887
Stanford University,California,79000,145200,56,51,Private,4 Year,15763,51354,67117,51354,67117
Santa Clara University,California,69900,134700,44,29,Private,4 Year,14910,51711,66621,51711,66621
University of California-Berkeley,California,70700,131800,49,36,Public,4 Year,16160,14184,30344,43176,59336
Claremont McKenna College,California,68500,125400,43,16,Private,4 Year,16705,54405,71110,54405,71110
University of California-San Diego,California,63400,123700,52,58,Public,4 Year,12362,14199,26561,43191,55553
University of Southern California,California,64500,120600,47,23,Private,4 Year,15395,56225,71620,56225,71620
California Polytechnic State University-San Luis Obispo,California,65600,119500,51,38,Public,4 Year,13796,9816,23612,21696,35492
Pomona College,California,63800,117200,47,37,Private,4 Year,16716,52780,69496,52780,69496
University of California-Santa Barbara,California,59700,116300,47,29,Public,4 Year,15273,14424,29697,43416,58689
University of California-Los Angeles,California,62000,116100,48,31,Public,4 Year,15816,13774,29590,42766,58582
University of California-Irvine,California,59600,116000,49,34,Public,4 Year,15263,15614,30877,44606,59869
San Jose State University,California,63000,114700,53,28,Public,4 Year,16442,7796,24238,17300,33742
Loyola Marymount University,California,58500,113300,39,9,Private,4 Year,14490,48522,63012,48522,63012
University of California-Davis,California,61500,112600,52,35,Public,4 Year,16211,14463,30674,43458,59669
Menlo College,California,61900,112400,59,0,Private,4 Year,14225,42800,57025,42800,57025
California State Polytechnic University-Pomona,California,57700,110800,50,30,Public,4 Year,17358,7353,24711,19233,36591
Saint Mary's College of California,California,59900,110800,51,5,Private,4 Year,15370,47280,62650,47280,62650
University of San Francisco,California,60600,109900,52,6,Private,4 Year,14830,48066,62896,48066,62896
University of San Diego,California,58900,109400,48,12,Private,4 Year,12980,49358,62338,49358,62338
Colorado School of Mines,Colorado,75600,139600,60,93,Public,4 Year,13169,18964,32133,38584,51753
University of Colorado Boulder,Colorado,57800,109900,48,39,Public,4 Year,14418,12532,26950,37286,51704
University of Denver,Colorado,55700,105100,48,12,Private,4 Year,13005,50556,63561,50556,63561
Colorado College,Colorado,53100,97900,48,23,Private,4 Year,12512,55470,67982,55470,67982
Regis University,Colorado,55500,94800,58,13,Private,4 Year,11560,36810,48370,36810,48370
University of Colorado Colorado Springs,Colorado,52200,90900,53,21,Public,4 Year,10500,10463,20963,24893,35393
Colorado State University-Pueblo,Colorado,48100,87600,62,13,Public,4 Year,10470,10408,20878,26329,36799
University of Northern Colorado,Colorado,47700,87100,52,7,Public,4 Year,11204,9786,20990,21474,32678
Fort Lewis College,Colorado,48300,82600,55,19,Public,4 Year,9878,9040,18918,19696,29574
Western State Colorado University,Colorado,44800,81500,47,19,Public,4 Year,9635,10114,19749,21586,31221
Colorado Mesa University,Colorado,47800,81500,55,7,Public,4 Year,10925,9243,20168,22440,33365
Adams State University,Colorado,44400,81400,56,3,Public,4 Year,8782,9440,18222,20456,29238
Colorado Christian University,Colorado,46800,80100,70,2,Private,4 Year,11846,31866,43712,31866,43712
Johnson & Wales University-Denver,Colorado,41500,74800,39,0,Private,4 Year,12546,32091,44637,32091,44637
Yale University,Connecticut,70300,138300,53,22,Private,4 Year,16000,53430,69430,53430,69430
Wesleyan University,Connecticut,61600,117000,53,21,Private,4 Year,15060,54914,69974,54914,69974
Fairfield University,Connecticut,62300,116900,41,17,Private,4 Year,14710,48350,63060,48350,63060
Trinity College,Connecticut,60100,110900,49,22,Private,4 Year,14750,56910,71660,56910,71660
University of Connecticut,Connecticut,59100,105200,48,24,Public,4 Year,12874,15730,28604,38098,50972
University of Hartford,Connecticut,55200,101600,53,15,Private,4 Year,12476,40694,53170,40694,53170
Connecticut College,Connecticut,57500,100800,36,30,Private,4 Year,15150,54820,69970,54820,69970
Sacred Heart University,Connecticut,55000,100500,46,15,Private,4 Year,15310,41420,56730,41420,56730
Quinnipiac University,Connecticut,55900,97700,46,10,Private,4 Year,14540,47960,62500,47960,62500
University of New Haven,Connecticut,52100,94800,52,25,Private,4 Year,15900,39270,55170,39270,55170
Central Connecticut State University,Connecticut,53100,93700,45,15,Public,4 Year,12176,10616,22792,21856,34032
University of Bridgeport,Connecticut,49900,93600,59,31,Private,4 Year,13860,32850,46710,32850,46710
University of Saint Joseph,Connecticut,49900,88800,63,9,Private,4 Year,11428,39173,50601,39173,50601
Western Connecticut State University,Connecticut,51700,88100,50,6,Public,4 Year,13560,11356,24916,22596,36156
Western Connecticut State University,Connecticut,51700,88100,50,6,Public,4 Year,13072,10819,23891,22059,35131
Eastern Connecticut State University,Connecticut,49200,87800,43,14,Public,4 Year,13560,11356,24916,22596,36156
Eastern Connecticut State University,Connecticut,49200,87800,43,14,Public,4 Year,13072,10819,23891,22059,35131
Albertus Magnus College,Connecticut,49700,85900,62,2,Private,4 Year,13200,32060,45260,32060,45260
Southern Connecticut State University,Connecticut,48500,83600,51,6,Public,4 Year,12860,10875,23735,22115,34975
University of Delaware,Delaware,58600,105400,43,22,Public,4 Year,12862,13680,26542,34310,47172
Goldey-Beacom College,Delaware,49800,86900,42,25,Private,4 Year,6400,24300,30700,24300,30700
Delaware State University,Delaware,46300,81900,62,10,Public,4 Year,12190,7868,20058,16904,29094
Wesley College,Delaware,45400,77300,50,2,Private,4 Year,11717,26406,38123,26406,38123
Florida Institute of Technology,Florida,58300,105400,53,48,Private,4 Year,12880,41850,54730,41850,54730
University of Florida,Florida,55800,102800,52,29,Public,4 Year,10120,6381,16501,28658,38778
University of Miami,Florida,56200,99600,48,22,Private,4 Year,14108,50226,64334,50226,64334
Florida State University,Florida,50800,92700,49,18,Public,4 Year,10816,6516,17332,21683,32499
Florida Atlantic University,Florida,49400,91200,51,15,Public,4 Year,11896,6039,17935,21595,33491
Jacksonville University,Florida,50100,90400,66,5,Private,4 Year,14080,36670,50750,36670,50750
Florida International University,Florida,49600,90100,51,16,Public,4 Year,10882,6558,17440,18956,29838
Adventist University of Health Sciences,Florida,51600,89800,88,5,Private,4 Year,4200,15150,19350,15150,19350
Nova Southeastern University,Florida,50200,89800,60,9,Private,4 Year,13250,30900,44150,30900,44150
University of Central Florida,Florida,49700,88600,50,16,Public,4 Year,9617,6368,15985,22467,32084
Eckerd College,Florida,49200,88400,52,25,Private,4 Year,12588,44540,57128,44540,57128
Rollins College,Florida,49000,87000,53,7,Private,4 Year,14735,49760,64495,49760,64495
University of North Florida,Florida,48800,86600,51,11,Public,4 Year,9976,6394,16370,20112,30088
University of North Florida,Florida,48800,86600,51,11,Public,4 Year,11610,6410,18020,17324,28934
New College of Florida,Florida,47300,86500,40,4,Public,4 Year,9264,6919,16183,29944,39208
Stetson University,Florida,47000,86000,44,7,Private,4 Year,13052,46030,59082,46030,59082
Lynn University,Florida,46100,85000,45,2,Private,4 Year,12170,38210,50380,38210,50380
Barry University,Florida,47400,84400,66,12,Private,4 Year,11100,29850,40950,29850,40950
Florida Agricultural and Mechanical University,Florida,48000,83900,62,8,Public,4 Year,10594,5827,16421,17768,28362
Emory University,Georgia,62000,110800,44,20,Private,4 Year,14456,51306,65762,51306,65762
University of Georgia,Georgia,54400,100700,45,14,Public,4 Year,10038,11830,21868,30404,40442
Morehouse College,Georgia,55700,98700,58,26,Private,4 Year,13438,27574,41012,27574,41012
Kennesaw State University,Georgia,52500,94600,46,22,Public,4 Year,11467,7432,18899,21158,32625
Oglethorpe University,Georgia,52400,91400,50,12,Private,4 Year,13200,38100,51300,38100,51300
Georgia State University,Georgia,50600,90800,47,18,Public,4 Year,11378,10858,22236,29432,40810
Georgia Southern University,Georgia,49000,88000,49,17,Public,4 Year,10070,7422,17492,20904,30974
University of North Georgia,Georgia,47300,85600,51,8,Public,4 Year,7876,7336,15212,21148,29024
Spelman College,Georgia,50200,85400,52,24,Private,4 Year,13865,29314,43179,29314,43179
Mercer University,Georgia,48500,85100,62,14,Private,4 Year,11616,36894,48510,36894,48510
Berry College,Georgia,44900,84900,44,21,Private,4 Year,12770,36556,49326,36556,49326
Augusta University,Georgia,47000,84400,69,10,Public,4 Year,9640,10758,20398,29796,39436
Agnes Scott College,Georgia,46000,83600,57,26,Private,4 Year,12330,41160,53490,41160,53490
University of West Georgia,Georgia,46700,82700,51,9,Public,4 Year,10918,7292,18210,20774,31692
Armstrong State University,Georgia,46600,81500,60,10,Public,4 Year,11385,6384,17769,19866,31251
Clayton  State University,Georgia,46400,81200,54,9,Public,4 Year,9994,6410,16404,19486,29480
Clark Atlanta University,Georgia,46300,81100,54,15,Private,4 Year,9524,23436,32960,23436,32960
Valdosta State University,Georgia,43400,81000,57,7,Public,4 Year,8110,7476,15586,20958,29068
Savannah College of Art and Design,Georgia,46800,80100,34,3,Private,4 Year,14550,36630,51180,36630,51180
Shorter University,Georgia,45600,79900,55,6,Private,4 Year,9400,22370,31770,22370,31770
Middle Georgia State University,Georgia,44000,79800,57,11,Public,4 Year,9080,4608,13688,13568,22648
Covenant College,Georgia,44400,79400,62,19,Private,4 Year,10260,34330,44590,34330,44590
Columbus State University,Georgia,43300,77900,59,10,Public,4 Year,9880,7200,17080,20682,30562
Brigham Young University-Hawaii,Hawaii,51700,93900,57,12,Private,4 Year,6586,5560,12146,5560,12146
Hawaii Pacific University,Hawaii,52200,93500,56,15,Private,4 Year,14800,25980,40780,25980,40780
University of Hawaii at Manoa,Hawaii,51600,91600,56,18,Public,4 Year,13689,11970,25659,34002,47691
Chaminade University of Honolulu,Hawaii,45400,84000,55,3,Private,4 Year,13630,25374,39004,25374,39004
University of Hawaii at Hilo,Hawaii,44000,77200,59,14,Public,4 Year,11406,7720,19126,20680,32086
University of Idaho,Idaho,52300,97700,54,22,Public,4 Year,8880,7864,16744,25500,34380
Brigham Young University-Idaho,Idaho,53700,93500,59,14,Private,4 Year,4592,4118,8710,4118,8710
Idaho State University,Idaho,50800,91800,64,12,Public,4 Year,7207,7420,14627,22940,30147
Boise State University,Idaho,50100,86400,55,14,Public,4 Year,10692,7694,18386,23776,34468
Northwest Nazarene University,Idaho,46200,80600,68,7,Private,4 Year,7400,29300,36700,29300,36700
Lewis-Clark State College,Idaho,44900,77600,60,5,Public,4 Year,7580,6618,14198,19236,26816
Illinois Institute of Technology,Illinois,64600,118500,47,64,Private,4 Year,12762,47296,60058,47296,60058
Northwestern University,Illinois,63400,115400,46,20,Private,4 Year,16626,54567,71193,54567,71193
University of Illinois at Urbana-Champaign,Illinois,62600,115300,44,36,Public,4 Year,11308,15094,26402,31664,42972
University of Chicago,Illinois,64000,114200,41,22,Private,4 Year,16350,58230,74580,58230,74580
Bradley University,Illinois,55600,104900,46,38,Private,4 Year,10620,33760,44380,33760,44380
University of Illinois at Chicago,Illinois,56300,103800,48,31,Public,4 Year,12074,13764,25838,26980,39054
DePaul University,Illinois,55700,102900,43,15,Private,4 Year,14235,39975,54210,39975,54210
Lake Forest College,Illinois,55400,102600,46,21,Private,4 Year,10390,47064,57454,47064,57454
Illinois Wesleyan University,Illinois,53100,96000,44,18,Private,4 Year,10984,47636,58620,47636,58620
Loyola University Chicago,Illinois,53400,96000,45,15,Private,4 Year,14480,44048,58528,44048,58528
Northern Illinois University,Illinois,53000,95500,47,20,Public,4 Year,10880,12262,23142,12262,23142
Knox College,Illinois,50600,95400,45,24,Private,4 Year,9870,46554,56424,46554,56424
Illinois State University,Illinois,51200,95000,47,10,Public,4 Year,9850,14516,24366,26040,35890
Principia College,Illinois,52600,94900,56,19,Private,4 Year,11610,29470,41080,29470,41080
North Central College,Illinois,50400,92900,45,9,Private,4 Year,11019,38880,49899,38880,49899
Saint Xavier University,Illinois,49400,91200,60,10,Private,4 Year,11340,33880,45220,33880,45220
Southern Illinois University-Carbondale,Illinois,49700,90900,54,17,Public,4 Year,10622,14704,25326,14704,25326
Southern Illinois University-Edwardsville,Illinois,51400,90100,50,21,Public,4 Year,11121,12132,23253,25817,36938
Lewis University,Illinois,49700,89800,53,14,Private,4 Year,10578,32450,43028,32450,43028
Rose-Hulman Institute of Technology,Indiana,75000,135800,51,96,Private,4 Year,14766,49871,64637,49871,64637
University of Notre Dame,Indiana,67000,130500,45,28,Private,4 Year,15410,53391,68801,53391,68801
Wabash College,Indiana,62200,114400,40,34,Private,4 Year,10050,43450,53500,43450,53500
DePauw University,Indiana,56600,101000,47,24,Private,4 Year,13020,49704,62724,49704,62724
Trine University,Indiana,55100,100300,56,26,Private,4 Year,10810,32175,42985,32175,42985
Butler University,Indiana,51800,99300,53,9,Private,4 Year,13830,41120,54950,41120,54950
Valparaiso University,Indiana,53300,98000,52,31,Private,4 Year,11860,40260,52120,40260,52120
Indiana University-Bloomington,Indiana,53600,97100,47,16,Public,4 Year,10465,10681,21146,35456,45921
Taylor University,Indiana,48700,90600,59,16,Private,4 Year,9614,34114,43728,34114,43728
University of Evansville,Indiana,50300,89900,54,17,Private,4 Year,12460,36416,48876,36416,48876
Saint Mary's College,Indiana,49700,89300,54,15,Private,4 Year,12580,42220,54800,42220,54800
Earlham College,Indiana,49100,88400,57,31,Private,4 Year,10400,46450,56850,46450,56850
Indiana University-Purdue University-Indianapolis,Indiana,50500,88200,55,15,Public,4 Year,8924,9465,18389,29821,38745
Franklin College,Indiana,48900,86200,45,21,Private,4 Year,9946,32010,41956,32010,41956
Indiana State University,Indiana,47900,85600,55,8,Public,4 Year,10590,9090,19680,19836,30426
Hanover College,Indiana,47500,85100,53,24,Private,4 Year,11580,37670,49250,37670,49250
Indiana Institute of Technology,Indiana,50000,84900,46,11,Private,4 Year,10020,26900,36920,26900,36920
Manchester University,Indiana,46900,84700,56,10,Private,4 Year,9580,32758,42338,32758,42338
University of Indianapolis,Indiana,47300,84500,55,5,Private,4 Year,10288,29688,39976,29688,39976
Ball State University,Indiana,45600,83700,48,7,Public,4 Year,10234,9896,20130,26468,36702
Indiana University-Purdue University-Fort Wayne,Indiana,47300,83200,52,17,Public,4 Year,5996,8450,14446,20288,26284
Iowa State University,Iowa,56100,101300,48,31,Public,4 Year,8720,8988,17708,23392,32112
Drake University,Iowa,52800,99900,49,7,Private,4 Year,10528,41396,51924,41396,51924
University of Iowa,Iowa,54100,99400,48,16,Public,4 Year,11172,9267,20439,31233,42405
Grinnell College,Iowa,53400,96500,49,41,Private,4 Year,12810,52392,65202,52392,65202
Cornell College,Iowa,49600,90600,47,22,Private,4 Year,9384,42299,51683,42299,51683
Loras College,Iowa,48000,90100,56,14,Private,4 Year,8275,34184,42459,34184,42459
Dordt College,Iowa,51000,89600,57,17,Private,4 Year,9590,30870,40460,30870,40460
Central College,Iowa,49000,88800,55,36,Private,4 Year,10280,37295,47575,37295,47575
Simpson College,Iowa,49900,88600,47,17,Private,4 Year,8380,39144,47524,39144,47524
Wartburg College,Iowa,49300,88000,49,34,Private,4 Year,9996,41280,51276,41280,51276
Coe College,Iowa,47200,86900,41,24,Private,4 Year,9480,45000,54480,45000,54480
Luther College,Iowa,48200,85900,49,21,Private,4 Year,9460,42290,51750,42290,51750
University of Northern Iowa,Iowa,47100,85300,46,8,Public,4 Year,8948,8938,17886,19480,28428
Northwestern College,Iowa,44800,82400,42,11,Private,4 Year,9200,31100,40300,31100,40300
Morningside College,Iowa,44900,82100,60,6,Private,4 Year,9610,31530,41140,31530,41140
Clarke University,Iowa,44900,80200,52,6,Private,4 Year,9600,33350,42950,33350,42950
University of Dubuque,Iowa,44200,79700,48,7,Private,4 Year,9930,34110,44040,34110,44040
Mount Mercy University,Iowa,47200,79000,51,4,Private,4 Year,9534,31798,41332,31798,41332
William Penn University,Iowa,43900,78300,59,7,Private,4 Year,6952,25600,32552,25600,32552
Upper Iowa University,Iowa,44200,78000,56,3,Private,4 Year,8454,30450,38904,30450,38904
University of Kansas,Kansas,53000,98600,52,16,Public,4 Year,10350,11148,21498,27358,37708
Kansas State University,Kansas,52500,97200,51,18,Public,4 Year,9680,10263,19943,25767,35447
Benedictine College,Kansas,48700,91800,69,13,Private,4 Year,10300,29530,39830,29530,39830
Newman University,Kansas,48000,88500,66,11,Private,4 Year,8326,30724,39050,30724,39050
Wichita State University,Kansas,48700,87300,57,24,Public,4 Year,11252,8271,19523,17452,28704
Pittsburg State University,Kansas,47100,84900,51,8,Public,4 Year,7778,7298,15076,18642,26420
Baker University,Kansas,47800,84200,55,2,Private,4 Year,8410,29830,38240,29830,38240
Washburn University,Kansas,47000,83000,54,4,Public,4 Year,8237,8870,17107,19940,28177
McPherson College,Kansas,44500,80900,59,9,Private,4 Year,8788,28951,37739,28951,37739
Kansas Wesleyan University,Kansas,44700,79400,61,10,Private,4 Year,9500,29500,39000,29500,39000
Fort Hays State University,Kansas,45100,79300,64,6,Public,4 Year,8300,5133,13433,15201,23501
Sterling College,Kansas,42700,79100,73,7,Private,4 Year,8280,26000,34280,26000,34280
MidAmerica Nazarene University,Kansas,46200,78500,60,1,Private,4 Year,8708,30736,39444,30736,39444
Emporia State University,Kansas,43500,78000,60,9,Public,4 Year,8912,6758,15670,20675,29587
Tabor College,Kansas,43300,77500,62,7,Private,4 Year,9850,28245,38095,28245,38095
Friends University,Kansas,44700,76500,59,14,Private,4 Year,7972,28415,36387,28415,36387
University of Kentucky,Kentucky,51700,96400,48,19,Public,4 Year,12982,12245,25227,29099,42081
Thomas More College,Kentucky,50000,90900,56,8,Private,4 Year,7950,31120,39070,31120,39070
Bellarmine University,Kentucky,49000,90700,54,11,Private,4 Year,12250,42200,54450,42200,54450
Centre College,Kentucky,49500,88500,52,22,Private,4 Year,10480,41700,52180,41700,52180
University of Louisville,Kentucky,49500,87600,50,18,Public,4 Year,9226,11656,20882,27278,36504
Northern Kentucky University,Kentucky,49000,87400,46,12,Public,4 Year,10022,10032,20054,19680,29702
Transylvania University,Kentucky,47900,85600,51,25,Private,4 Year,10460,38750,49210,38750,49210
Western Kentucky University,Kentucky,45500,83100,49,10,Public,4 Year,9018,9296,18314,19074,28092
Western Kentucky University,Kentucky,45500,83100,49,10,Public,4 Year,8343,10602,18945,26496,34839
Georgetown College,Kentucky,45000,81900,54,10,Private,4 Year,9780,38650,48430,38650,48430
Brescia University,Kentucky,44300,81200,53,7,Private,4 Year,9200,22400,31600,22400,31600
Eastern Kentucky University,Kentucky,45600,80700,56,5,Public,4 Year,9018,9296,18314,19074,28092
Eastern Kentucky University,Kentucky,45600,80700,56,5,Public,4 Year,8343,10602,18945,26496,34839
Murray State University,Kentucky,44800,79900,56,9,Public,4 Year,9190,9084,18274,24540,33730
Spalding University,Kentucky,44800,79200,71,0,Private,4 Year,7600,24500,32100,24500,32100
Kentucky Wesleyan College,Kentucky,42100,76800,65,14,Private,4 Year,9764,26440,36204,26440,36204
Morehead State University,Kentucky,41300,74900,56,9,Public,4 Year,9960,9170,19130,13646,23606
University of the Cumberlands,Kentucky,39800,73800,63,8,Private,4 Year,9000,23000,32000,23000,32000
